model,year,price,type,distance,fuel,tax,miles per galoon,size
13,2015.0,27998.0,2,14158.0,0,200.0,47.9,3.0
13,2015.0,24998.0,2,29036.0,0,160.0,50.4,3.0
13,2016.0,30498.0,2,17624.0,0,200.0,47.9,3.0
13,2015.0,26498.0,2,27343.0,0,200.0,48.7,3.0
13,2017.0,34948.0,0,27000.0,1,20.0,61.4,2.1
13,2016.0,24880.0,0,75000.0,1,190.0,42.4,3.5
13,2016.0,25498.0,2,44072.0,0,200.0,47.9,3.0
13,2015.0,38980.0,0,11000.0,2,270.0,33.2,3.5363892141826785
13,2016.0,28498.0,2,30135.0,0,200.0,47.9,3.0
13,2015.0,29995.0,0,17700.0,0,200.0,48.7,3.0
13,2012.0,10948.0,0,85026.14414204747,2,265.0,36.7,3.5
14,2016.0,20498.0,2,10643.0,0,30.0,70.6,2.1
14,2017.0,22498.0,2,11534.0,0,145.0,70.6,2.1
14,2018.0,22914.0,0,8725.0,2,145.0,47.9,2.0
14,2016.0,18498.0,2,33502.0,0,30.0,70.6,2.1
14,2017.0,20998.0,2,18739.0,0,145.0,70.6,2.1
14,2019.0,30670.0,0,3000.0,2,145.0,47.1,2.0
14,2016.0,19998.0,2,27801.0,2,145.0,47.9,2.0
14,2017.0,20601.0,0,16730.0,0,150.0,70.6,2.1
14,2016.0,18998.0,2,29302.0,0,30.0,70.6,2.1
14,2017.0,20298.0,2,20055.0,0,30.0,70.6,2.1
14,2017.0,21609.0,0,2780.0,0,30.0,70.6,2.1
14,2019.0,32998.0,2,17.0,2,145.0,47.1,2.0
14,2017.0,20998.0,2,13526.0,2,145.0,47.9,2.0
14,2019.0,32998.0,2,2403.0,2,145.0,47.1,2.0
14,2017.0,21998.0,2,4657.0,0,145.0,70.6,2.1
14,2019.0,28491.0,2,9477.0,2,145.0,47.1,2.0
